[STDOUT]                                                                     : 59
[org.hibernate.ejb.Version]                                                  : 73
[org.hibernate.validator.Version]                                            : 74
[org.apache.catalina.startup.Catalina]                                       : 75
[org.jboss.soa.esb.listeners.deployers.mc.EsbConfigParser]                   : 78
[org.jbpm.JbpmConfiguration]                                                 : 80
[org.apache.juddi.config.AppConfig]                                          : 83
[org.jboss.soa.bpel.runtime.ws.EndpointManager]                              : 87
[org.hibernate.cfg.annotations.Version]                                      : 87
[org.hibernate.annotations.common.Version]                                   : 93
[org.hornetq.core.persistence.impl.journal.JournalStorageManager]            : 95
[org.jboss.internal.soa.esb.persistence.manager.J2eeConnectionManager]       : 98
[org.apache.catalina.core.StandardEngine]                                    : 98
[org.jboss.internal.soa.esb.dependencies.JuddiClientService]                 : 102
[org.apache.juddi.v3.client.config.UDDIClerk]                                : 105
[org.jboss.soa.bpel.runtime.db.DatabaseInitializer]                          : 110
[org.jboss.errai.bus.server.service.bootstrap.BootstrapContext]              : 112
[gov.hhs.cms.hix.dsh.ee.listeners.StopMBeansListener]                        : 116
[org.jboss.soa.esb.listeners.message.MessageAwareListener]                   : 118
[org.jboss.soa.bpel.runtime.engine.ode.BPELEngineImpl]                       : 123
[org.jboss.web.WebService]                                                   : 125
[org.jboss.soa.bpel.console.bpaf.BPAFLogAdapter]                             : 129
[org.jboss.internal.soa.esb.services.rules.DroolsResourceChangeService]      : 130
[org.apache.ode.bpel.engine.migration.MigrationHandler]                      : 142
[org.hibernate.cache.impl.bridge.RegionFactoryCacheProviderBridge]           : 142
[org.jboss.wsf.container.jboss50.deployment.tomcat.WebMetaDataModifierImpl]  : 143
[com.eviware.soapui.SoapUI]                                                  : 148
[org.jboss.system.server.profileservice.ProfileServiceBootstrap]             : 159
[org.apache.ode.bpel.engine.BpelServerImpl]                                  : 167
[org.jboss.mail.MailService]                                                 : 172
[org.jboss.wsf.stack.cxf.config.CXFServerConfig]                             : 176
[org.apache.catalina.core.StandardService]                                   : 177
[org.hornetq.ra.HornetQResourceAdapter]                                      : 183
[org.hornetq.core.server.impl.FileLockNodeManager]                           : 183
[org.jboss.errai.bus.server.WorkerFactory]                                   : 197
[org.hibernate.connection.DatasourceConnectionProvider]                      : 202
[org.jboss.errai.bus.server.service.bootstrap.OrderedBootstrap]              : 203
[org.jboss.internal.soa.esb.dependencies.JuddiRMIService]                    : 205
[org.hornetq.core.deployers.impl.FileConfigurationParser]                    : 218
[org.apache.cxf.frontend.AbstractWSDLBasedEndpointFactory]                   : 225
[org.jboss.internal.soa.esb.couriers.transport.InVMTemporaryTransport]       : 225
[org.apache.cxf.jaxws.support.JaxWsServiceFactoryBean]                       : 227
[org.hornetq.core.protocol.core.impl.RemotingConnectionImpl]                 : 231
[org.jboss.logbridge.LogNotificationListener]                                : 233
[javax.enterprise.resource.webcontainer.jsf.config]                          : 259
[org.jboss.soa.esb.message.MessagePayloadProxy]                              : 263
[org.quartz.simpl.RAMJobStore]                                               : 268
[org.quartz.simpl.SimpleThreadPool]                                          : 273
[org.apache.juddi.v3.client.config.UDDIClerkManager]                         : 276
[org.jboss.soa.esb.services.jbpm.actions.JBpmCallback]                       : 282
[org.hornetq.core.remoting.impl.netty.NettyAcceptor]                         : 282
[org.jboss.soa.bpel.runtime.db.H2Database]                                   : 284
[org.jboss.jdbc.HypersonicDatabase]                                          : 285
[org.jboss.internal.soa.esb.dependencies.H2Database]                         : 286
[org.jboss.deployment.dependency.ContainerDependencyMetaData]                : 295
[org.hibernate.cfg.Environment]                                              : 304
[org.jboss.errai.bus.server.service.bootstrap.DefaultComponents]             : 314
[org.hibernate.util.NamingHelper]                                            : 331
[org.apache.juddi.v3.client.config.ClientConfig]                             : 361
[org.jboss.errai.bus.server.service.bootstrap.LoadExtensions]                : 363
[org.jboss.internal.soa.esb.dependencies.DatabaseInitializer]                : 365
[org.jboss.varia.property.SystemPropertiesService]                           : 369
[org.jboss.bootstrap.microcontainer.ServerImpl]                              : 381
[org.apache.juddi.api.impl.UDDIServiceCounter]                               : 385
[org.apache.catalina.core.AprLifecycleListener]                              : 389
[org.apache.juddi.Registry]                                                  : 391
[org.apache.coyote.ajp.AjpProtocol]                                          : 397
[gov.hhs.cms.hix.dsh.core.actions.NotificationTriageAction]                  : 443
[org.jboss.errai.bus.server.service.metadata.EntityProcessor]                : 456
[org.springframework.context.support.GenericApplicationContext]              : 470
[org.hibernate.hql.ast.ASTQueryTranslatorFactory]                            : 470
[org.hibernate.connection.ConnectionProviderFactory]                         : 480
[org.jboss.soa.esb.listeners.message.ActionProcessingPipeline]               : 491
[org.jboss.soa.bpel.runtime.engine.service.BPELEngineService]                : 537
[gov.hhs.cms.hix.dsh.core.actions.DSLReaderAction]                           : 550
[org.hibernate.impl.SessionFactoryObjectFactory]                             : 570
[gov.hhs.cms.hix.dsh.ee.irs.actions.DSHAptcCalulatorAction]                  : 570
[gov.hhs.cms.hix.dsh.ee.irs.actions.AptcSoapXMLClientAction]                 : 571
[org.hibernate.impl.SessionFactoryImpl]                                      : 681
[org.jboss.soa.esb.listeners.message.ServiceMessageCounterLifecycleResource] : 696
[org.springframework.web.context.ContextLoader]                              : 700
[org.hibernate.transaction.TransactionFactoryFactory]                        : 717
[org.hibernate.engine.jdbc.JdbcSupportLoader]                                : 725
[org.hibernate.dialect.Dialect]                                              : 735
[org.hibernate.cfg.search.HibernateSearchEventListenerRegister]              : 780
[org.hornetq.jms.server.recovery.HornetQXAResourceWrapper]                   : 820
[org.apache.coyote.http11.Http11Protocol]                                    : 858
[org.apache.cxf.transport.servlet.AbstractCXFServlet]                        : 882
[jboss.web]                                                                  : 892
[org.jboss.ejb3.deployers.Ejb3DependenciesDeployer]                          : 896
[com.arjuna.ats.jbossatx.jta.TransactionManagerService]                      : 910
[org.jboss.resource.deployers.RARDeployment]                                 : 931
[org.jboss.soa.esb.listeners.gateway.AbstractFileGateway]                    : 954
[org.quartz.impl.StdSchedulerFactory]                                        : 956
[org.jboss.ejb3.EJBContainer]                                                : 1100
[org.springframework.web.context.support.XmlWebApplicationContext]           : 1164
[gov.hhs.cms.hix.dsh.core.actions.DataReaderAction]                          : 1173
[gov.hhs.cms.hix.dsh.dal.xccadapter.XccFileStreaming]                        : 1260
[org.jboss.internal.soa.esb.services.rules.LogSystemEventListener]           : 1304
[org.hibernate.transaction.TransactionManagerLookupFactory]                  : 1352
[gov.hhs.cms.hix.dsh.core.actions.SplitterAggregatorClient]                  : 1459
[org.jboss.resteasy.spi.ResteasyDeployment]                                  : 1532
[org.apache.cxf.bus.spring.BusApplicationContext]                            : 1710
[org.jboss.as.integration.hornetq.deployers.HornetQJMSRealDeployer]          : 1773
[org.jboss.wsf.framework.management.DefaultEndpointRegistry]                 : 1989
[org.quartz.core.QuartzScheduler]                                            : 2232
[org.jboss.wsf.stack.cxf.DescriptorDeploymentAspect]                         : 2248
[org.jboss.resource.connectionmanager.ConnectionFactoryBindingService]       : 2352
[gov.hhs.cms.hix.dsh.dal.xccadapter.XccAdapter]                              : 2968
[org.jboss.soa.esb.listeners.deployers.mc.EsbDeployment]                     : 3182
[org.jboss.ejb3.deployers.JBossASKernel]                                     : 3295
[org.jboss.web.tomcat.service.deployers.TomcatDeployment]                    : 3842
[org.apache.cxf.common.injection.ResourceInjector]                           : 4291
[org.springframework.context.support.ClassPathXmlApplicationContext]         : 5256
[org.jboss.soa.esb.client.ServiceInvoker]                                    : 7810
[org.springframework.beans.factory.xml.XmlBeanDefinitionReader]              : 8408
[org.apache.cxf.endpoint.ServerImpl]                                         : 9770
[org.apache.juddi.v3.client.transport.wrapper.RequestHandler]                : 10137
[org.hornetq.core.server.impl.HornetQServerImpl]                             : 10553
[org.hibernate.cfg.SettingsFactory]                                          : 11010
[org.apache.juddi.api.impl.InquiryHelper]                                    : 11661
[org.hibernate.cfg.Configuration]                                            : 11803
[org.hibernate.cfg.annotations.CollectionBinder]                             : 11867
[org.hibernate.cfg.AnnotationBinder]                                         : 14167
[org.hibernate.cfg.annotations.EntityBinder]                                 : 15154
[org.hibernate.cfg.HbmBinder]                                                : 16240
[org.apache.cxf.service.factory.ReflectionServiceFactoryBean]                : 17469
[org.hibernate.cfg.annotations.QueryBinder]                                  : 27129
[org.springframework.beans.factory.support.DefaultListableBeanFactory]       : 101894
